,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
20,BR1S00021,BR1,Sales,Detached,"Kinnaird Avenue, Bromley, Kent, BR1",5,3,"£1,600,000",Stunning five-bedroom three-bathroom linked detached family home located in a quiet sought-after area of Sundridge Park. Chain free! Energy Efficiency Rating D.,Reduced on 02/02/2023,"Reduced on 14/02/2023 by Savills New Homes, covering Southeast",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
21,BR1S00022,BR1,Sales,Penthouse,Kinnaird Avenue Bromley BR1,3,3,"£1,600,000","If you really want A TRUE WOW FACTOR PENTHOUSE then you must see this! This is perfect for downsizers, lock-up and leave buyers or anyone wanting an incredible, easy lifestyle living space. Viewings available 7 days a week.",Reduced on 24/04/2023,"Reduced on 02/02/2023 by jdm, Chislehurst",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
22,BR1S00023,BR1,Sales,Detached,"Woodlands Road, Bromley, Kent, BR1",5,2,"£1,500,000",Extremely rare opportunity to purchase this fantastic family home which is located on one of Chislehurst’s most desirable private roads. The property boasts extremely spacious and versatile accommodation arranged over three levels. The ground floor offers a stunning entrance hal...,Added on 18/04/2023,"Reduced on 24/04/2023 by Sinclair Hammelton, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
23,BR1S00024,BR1,Sales,Flat,"Ravensbourne Road, Bromley, London, BR1",1,1,"£285,000","Andrew Kingsley as Sole Agent is delighted to offer for sale this modern spacious and well maintained One Double Bed Purpose-Build Flat, situated in a most convenient location within only a few minutes walking distance of Bromley High Street and Bromley South Mainline Railway Station.",Added on 26/04/2023,Allow all cookies,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
24,BR1S00025,BR1,Sales,Apartment,"Woodlands Road, Bickley, Bromley, BR1",3,3,"£1,500,000","We are extremely pleased to be offering for sale this simply stunning penthouse apartment comprising the entire top floor of this exclusive development of just 5 brand new luxury apartments.In a secluded woodland setting within easy walking distance to Bickley Station, Applewood House n...",NEW HOME,"Added on 26/04/2023 by Andrew Kingsley, Beckenham",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
25,BR1S00026,BR1,Sales,Detached,"Hillbrow Road, Bromley, Kent, BR1",5,2,"£1,500,000","GUIDE PRICE - £1,500,000 - £1,600,000 A unique and exceptional period detached house of some 2621 sq ft situated in this quiet and sought after road. Accommodation comprises; entrance hallway, utility room, two reception rooms, large kitchen/diner with far reaching views, further...",Added on 24/04/2023,NEW HOME,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
26,BR1S00027,BR1,Sales,Apartment,Willoughby Lane Bromley BR1,2,2,"£1,419,950","Plot 5 - The Scott - An exceptional 2,750 sq.ft two bedroom, two storey apartment within the iconic, Grade 1 listed mansion. The apartment boasts a grand entrance and a beautifully restored circular staircase with an ornate rooflight and original full height windows.",Reduced on 09/01/2023,"Added on 24/04/2023 by Proctors, Park Langley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
27,BR1S00028,BR1,Sales,Semi-Detached,"Pines Road, Bromley",6,2,"£1,400,000","Retaining many original features and set over three floors, this beautiful locally listed period home is set on a sought after road within close proximity to both Bickley & Chislehurst BR.",Added on 09/03/2023,"Reduced on 09/01/2023 by Sinclair Hammelton, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
28,BR1S00029,BR1,Sales,Detached,"Bromley Avenue, Bromley, Kent, BR1",4,3,"£1,350,000","jdm are delighted to offer to the market this beautiful four bedroom, detached family home which showcases a. number of original features throughout. Offering a wealth of bright and spacious accommodation arranged over two floors with potential to extend subject to obtaining the necessary plannin...",Added on 31/03/2023,"Added on 09/03/2023 by Langford Russell, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
29,BR1S00030,BR1,Sales,Detached,"Woodside Road, Bickley, BR1",4,3,"£1,350,000","Stunning, new 4 bedroom luxury detached house in central Bickley. High specification design, contemporary features and gated driveway. Due for completion Easter 2023. Predicted EPC Rating: B",Added on 01/04/2023,"Added on 31/03/2023 by Kinleigh Folkard & Hayward - Sales, Chislehurst",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
30,BR1S00031,BR1,Sales,Detached,"Chislehurst Road, Bickley, Kent, BR1",5,2,"£1,320,000","Set in a gated community of four detached houses with a handsome period property in the middle sits this 5/6 bedroom detached property. Situated in the corner of the estate, with its own gate too, it is very tranquil and private. Just 0.5 of a mile from Bickley station for your commute to London...",NEW HOME,"Added on 01/04/2023 by jdm, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
31,BR1S00032,BR1,Sales,Detached,"Fidgeon Close, Bickley, Kent, BR1",5,3,"£1,250,000","Tucked away in this quiet and secluded cul de sac location is this generously proportioned 5 double bedroom, 3 bathroom detached family home which occupies close to 2500 sq ft, with sizeable southerly aspect gardens backing green belt land. Built in 2007 the property is fastidiously maintained a...",Added on 24/11/2022,NEW HOME,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
32,BR1S00033,BR1,Sales,Semi-Detached,"London Lane, Sundridge Park, Bromley, BR1",5,2,"£1,250,000","Guide Price: £1.25m - £1.35m. This exceptional Edwardian semi-detached family house boasts five spacious bedrooms spread over three generous floors of accommodation. Built circa 1910, this fantastic home has since had just two owners over its 113 years, with the current owner have acqui...",Added on 23/03/2023,"Added on 24/11/2022 by George Proctor & Partners, Bickley Estate Office",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=OUTCODE%5E251&index=24&propertyTypes=&includeSSTC=false&mustHave=&dontShow=&furnishTypes=&keywords=
